COMMON_NAME,SECONDARY_NAME,OTHER_NAMES,CATEGORY,OCCUPANCY,CORPORATION,POPULATION_ESTIMATE,LOCAL_GOVERNMENT_AUTHORITY,LOCALITY,REGIONAL_DEVELOPMENT_COMMISSION,ABS_REMOTENESS_2011,Australian Indigenious Language nfd,Arnhem Land and Daly River Region Languages,Yolngu Matha,Cape York Peninsula Languages,Torres Strait Island Languages,Northern Desert Fringe Area Languages,Arandic,Western Desert Languages,Kimberley Area Languages,Other Australian Indigenous Languages,Proportion 1,Proportion 2,Proportion 3,Proportion 4,Proportion 5,Proportion 6,Proportion 7,Proportion 8,Proportion 9,Proportion 10
Goolarabooloo,Coconut Wells,Goolarabooloo Millibinyarri,Remote Aboriginal Community,Permanent,Goolarabooloo-Millibinyarri Aboriginal Corporation,27,Broome,Waterbank,Kimberley,Remote,0,0,0,0,0,0,0,0,27,0,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
Goojarr Goonyool,Goombaragin Two,Goombaragin,Remote Aboriginal Community,Permanent,Goojarr Goonyool Aboriginal Corporation,7,Broome,Dampier Peninsula,Kimberley,Very Remote,0,0,0,0,0,0,0,0,7,0,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
Goodarl,Fork Creek,Guyumbul Community,Remote Aboriginal Community,Seasonal,Goodarl Community Aboriginal Corporation,0,Wyndham-East Kimberley,Wyndham,Kimberley,Very Remote,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Gubili,,Gubuli,Remote Aboriginal Community,Seasonal,None,0,Broome,Dampier Peninsula,Kimberley,Very Remote,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Guda Guda,Nine Mile Camp,"9 Mile Reserve, Gooda Gooda",Remote Aboriginal Community,Permanent,Nine Mile Aboriginal Corporation,60,Wyndham-East Kimberley,Wyndham,Kimberley,Very Remote,0,0,0,0,0,0,0,0,60,0,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
Gudrum,,,Remote Aboriginal Community,Seasonal,Gubrun Aboriginal Corporation,0,Broome,Dampier Peninsula,Kimberley,Very Remote,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Gudumul,,Gudumal,Remote Aboriginal Community,Seasonal,Gudumul Aboriginal Corporation,0,Broome,Dampier Peninsula,Kimberley,Very Remote,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Goose Hill,Gulalluwa,"Gilaluwa, Goose Hill",Remote Aboriginal Community,Permanent,Gulalluwa Aboriginal Corporation,6,Wyndham-East Kimberley,Wyndham,Kimberley,Very Remote,0,0,0,0,0,0,0,0,6,0,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
Gulumonon,Goolamionon,Goolomonon,Remote Aboriginal Community,Permanent,Gulumonon Aboriginal Corporation,20,Broome,Dampier Peninsula,Kimberley,Very Remote,0,0,0,0,0,0,0,0,20,0,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
Gumbarnun,,"Gumbarmun, Gumbarnum, Goombarnun",Remote Aboriginal Community,Permanent,Gumbarnun Aboriginal Group Incorporated,15,Broome,Dampier Peninsula,Kimberley,Very Remote,0,0,0,0,0,0,0,0,15,0,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
